,mode
33552,1
63003,1
60724,1
4361,1
34906,0
66741,0
60975,1
2888,0
46651,3
25311,3
14766,3
21362,3
3757,1
21489,1
59839,3
273,3
20164,3
16261,1
7718,3
5195,0
14752,2
71737,0
74132,2
67492,0
20718,3
12959,2
20716,3
66700,1
10643,0
69952,3
26949,3
28809,3
20347,3
24555,3
48160,0
6969,1
29686,3
58462,3
15393,0
42022,2
65996,1
45787,3
42475,1
33982,3
36532,3
38269,1
68365,0
24254,1
69515,2
45709,3
73888,1
45307,3
21681,1
79972,1
63622,0
5142,3
63432,1
42069,3
75764,1
52773,3
79012,3
80506,0
18301,1
41998,1
27059,1
10949,0
42332,1
52020,3
71544,3
75071,0
35432,3
43886,1
10658,1
54779,3
34780,3
39820,1
64705,3
41808,3
60017,3
76853,0
2240,3
28501,1
78444,3
71083,1
68958,1
55764,1
20492,1
77051,3
39679,1
58644,3
36350,3
39863,1
23865,0
76473,1
42699,3
77503,3
54099,1
38964,2
5366,1
26450,1
30404,1
26192,3
76729,3
60965,3
18598,1
23743,3
79021,1
77381,3
32585,3
3874,3
69100,1
27992,0
40634,0
51933,3
32741,3
72428,1
75742,1
400,1
49677,3
41720,3
5941,1
4280,1
9735,2
64156,0
73100,1
32742,1
26364,3
65866,1
16342,1
21666,1
47697,3
80489,3
48646,1
63524,3
9544,3
46755,3
54630,1
43423,3
41055,0
65112,3
36403,1
14293,1
52671,3
51699,1
63286,3
51909,1
48532,3
72458,0
76774,3
30400,1
38556,1
44427,1
6685,1
21879,1
14561,0
1805,1
46227,3
70899,3
6683,3
43685,3
9683,0
63569,1
10591,2
32129,0
17820,1
33621,1
5767,0
24494,3
44192,0
931,0
47488,3
15550,3
56474,3
18709,3
37369,0
14377,1
26237,1
72931,1
15124,3
25244,0
1372,1
54092,3
70566,2
50035,3
79377,1
27504,3
3978,0
5526,0
63689,2
15057,0
49639,1
73942,3
73387,1
45827,3
9135,3
66340,1
20576,3
7277,1
29841,3
25614,3
43280,1
33661,3
58023,1
45645,1
3568,3
31496,1
76400,1
72148,0
53981,3
66516,0
5784,1
32269,1
31927,1
45135,3
32814,1
26689,0
6597,1
6756,1
18726,0
31759,3
40606,1
49360,3
35599,1
42914,0
6196,3
23313,1
48873,1
3495,1
24261,1
22330,0
31595,3
24602,3
67858,1
42841,1
5104,3
55616,3
10843,3
56740,0
37330,1
77209,1
48794,1
18572,1
71993,3
11417,3
62971,0
22613,3
24952,1
13757,1
67174,3
14634,1
40960,1
24799,3
31202,0
32487,3
11668,1
64989,3
59198,3
47272,1
15460,0
62394,1
50389,0
60451,1
66345,1
51064,1
77753,0
47874,3
23343,0
35991,1
69597,3
76563,3
20934,1
14165,1
26040,3
6059,3
69664,1
39409,0
24115,0
55672,3
54466,3
54331,0
32578,3
77779,3
18023,1
46771,3
61080,1
41467,1
19626,1
36781,3
18554,3
31296,1
17876,1
4411,3
48470,1
18896,3
28275,3
79361,3
29909,1
80870,3
6814,1
16787,3
63125,0
12760,1
57684,2
33494,3
27434,3
42271,1
75624,0
31317,3
79204,3
68800,3
54963,0
62296,1
49251,3
55341,3
23813,3
18063,3
65041,3
9051,0
58428,3
38657,2
68639,3
53590,0
66026,1
21941,1
70125,0
21100,1
74993,1
20632,0
64273,1
76543,3
31727,0
67686,1
52125,3
29082,1
8082,3
69891,3
6871,0
50205,3
49120,3
33406,3
35639,1
41903,3
17742,3
62737,3
26629,3
57217,1
13152,3
44684,1
76286,3
2727,1
5300,1
52014,3
55116,0
22403,1
75132,1
55593,1
24404,1
16461,1
72050,0
12584,1
3908,3
50855,3
67529,0
31888,1
28728,3
49865,1
42160,3
20082,1
9484,1
42931,1
45928,3
9908,1
50230,1
60544,3
34460,0
56648,1
77899,3
48667,1
51724,3
61956,1
71173,0
41061,0
50286,3
63228,1
71093,3
51088,1
17449,1
59583,3
34676,1
64019,1
53162,1
46906,3
504,3
37818,3
19031,3
17295,1
8044,3
54764,1
44611,1
76718,0
6730,0
46248,1
40354,3
18338,1
31761,3
64064,3
64608,1
67274,2
2309,0
75385,3
61447,3
71482,3
46337,0
33294,1
36696,0
20445,1
71330,0
45559,3
42328,1
30156,0
73974,2
5376,3
55827,1
29857,1
6545,3
28112,1
64082,3
73468,2
44359,3
54406,1
1181,3
22379,0
2776,3
47530,0
24898,3
58967,3
75730,0
3173,1
40287,3
77645,1
6113,3
75442,2
20565,1
219,1
24015,1
52004,3
74155,3
60947,0
36012,1
17584,0
41076,1
78957,3
13912,3
53430,1
29129,3
9580,1
39343,3
46942,0
50184,2
73086,3
25321,1
80930,2
65492,1
22686,1
61938,0
67145,3
20546,1
70175,3
79780,1
11541,3
3026,3
43649,1
28073,1
72873,3
58695,3
33751,3
7000,1
16223,1
60130,1
36020,1
7144,3
34260,1
12481,0
10289,3
21247,1
58836,3
4058,3
80323,2
5667,3
65410,0
76510,3
49951,0
25693,3
77935,1
31067,3
64432,3
10565,3
58033,1
35652,0
54223,3
13203,1
31251,3
43549,1
11588,3
71052,3
12331,3
59206,1
2092,0
54461,1
35997,3
37366,3
902,0
56159,3
18954,3
71082,1
41732,0
54696,0
24962,1
67072,1
8454,3
45108,3
58700,1
4005,0
54296,1
64611,3
41390,0
14109,3
9687,3
76594,0
61964,3
35457,0
77871,0
75806,0
69370,3
26243,3
10268,3
68868,3
59783,1
78116,3
13469,3
2629,0
7558,3
25858,3
16540,0
64129,3
3787,3
18438,3
32068,0
41491,3
10212,3
15530,3
61251,3
46810,1
43133,0
11061,0
34694,0
12887,3
45053,1
28867,1
50864,3
71708,1
72023,2
78867,1
41195,3
33729,1
10454,1
30839,0
29751,1
56183,1
24528,3
40195,1
36231,3
65933,3
72845,1
74760,3
56545,0
46570,3
61167,0
20975,3
41973,0
1670,1
72342,0
27831,0
14051,3
74828,3
51139,3
9281,3
66103,0
69993,3
70299,3
68384,0
36199,3
8215,0
28676,1
35246,3
41281,3
26458,1
70925,3
73247,3
15996,1
39391,1
13380,1
9755,1
57411,0
27259,1
34060,3
80328,0
16188,3
29693,1
76938,3
65946,3
77260,1
55327,0
63412,1
48956,1
52247,2
61732,1
69607,3
12506,3
71341,1
4204,1
38850,0
77390,1
25453,3
51395,0
17485,3
20267,2
58740,1
14579,3
11099,1
47845,1
8443,0
6483,1
45148,3
32647,3
48691,3
66819,2
61077,1
65630,3
8799,1
46299,3
22935,3
15673,3
48080,1
49142,3
37833,3
76080,0
43485,3
17526,3
63216,3
21612,3
30687,1
69889,3
33652,1
40746,3
73036,0
15394,0
75159,3
35327,3
23131,0
52504,3
1812,3
47867,3
6498,3
11753,0
4116,3
79299,3
22374,3
20292,2
75416,3
11834,0
12258,2
73054,0
42829,0
1081,1
75109,3
2638,3
76484,3
37511,3
39669,1
62596,0
36275,1
77120,3
78877,1
28799,1
32883,3
3886,3
20416,2
67872,1
53508,3
14791,3
63448,3
3854,1
3335,0
58380,1
15944,1
7319,3
19909,3
62731,0
61139,3
43083,3
34836,3
45535,0
71957,3
74407,3
37061,1
62267,3
46064,1
35782,1
5264,2
51066,3
58288,3
41442,0
16131,0
68676,3
33143,3
19981,1
14108,3
55290,3
25969,3
57342,2
77668,0
49844,0
65055,1
51138,3
4265,1
20933,1
10894,1
24344,1
16861,0
10332,3
15752,0
22710,3
37537,1
34769,1
5872,3
49498,3
22688,3
72052,1
66306,3
37731,1
5739,3
58991,3
75688,1
6692,1
73032,1
25959,1
62545,0
72074,3
46425,0
66187,3
18112,1
67114,3
71452,1
71956,3
67240,1
67176,3
73067,1
56444,3
17263,2
41595,0
35679,3
48725,0
44915,3
51723,3
51483,3
44920,3
62997,0
70894,3
2880,3
26781,3
56101,3
43329,3
43895,0
54769,3
2531,3
41071,0
77755,1
63110,2
33274,1
45762,0
51038,3
20958,1
52541,3
19285,3
57953,0
60845,1
16372,2
76086,1
2782,3
27463,1
72091,0
45339,3
17444,3
63570,1
24024,3
79832,1
68541,3
13017,0
54118,1
16460,1
37923,0
30671,1
24960,0
12733,1
65179,3
78702,0
48087,1
63696,3
58378,0
7027,0
31787,1
71770,3
67716,1
456,1
26980,1
43474,0
36954,3
36981,0
36528,1
70503,0
59106,3
72406,0
34767,3
78894,1
29819,0
44242,0
38163,0
49957,0
68981,1
50422,1
13094,3
34897,1
22376,1
36184,3
8363,1
66360,3
15320,3
56663,0
1213,1
40879,1
69167,1
60586,1
64707,3
64725,3
836,0
64980,3
67803,0
3826,3
77130,3
48751,1
36831,3
30851,0
78401,3
36814,3
15681,0
39261,3
27674,1
72360,0
55738,0
72216,3
77549,0
22895,3
72044,3
56701,3
61026,1
36344,2
56748,0
31922,3
7475,0
49861,1
9234,0
40294,1
34179,1
27550,1
29468,3
38594,1
57332,3
36730,3
66650,2
237,1
51624,1
47227,3
45319,3
3580,3
63987,3
42496,1
77644,1
31885,1
49794,1
35426,3
74477,1
79337,3
45014,1
27652,3
27997,3
70213,2
32724,3
21877,1
46347,1
7440,1
9267,3
9197,1
10901,1
69132,0
28659,3
57959,3
5540,3
79698,3
77201,1
47120,1
37778,3
63322,1
77287,3
18045,1
75884,3
70242,3
65142,3
59345,3
30821,1
26895,1
14608,3
75240,1
13464,1
46017,1
77157,0
55434,1
32461,3
13863,3
5689,3
79091,0
32166,0
51535,3
59433,3
22033,3
9697,1
28462,1
12576,1
20078,3
17768,3
39517,0
43161,3
59418,1
41183,1
80790,0
73540,1
38298,0
32838,3
68549,0
14886,1
23498,1
47372,0
17695,3
38117,1
15323,3
64107,1
63039,3
35850,2
27119,2
64563,3
19140,1
44257,0
20154,3
41056,0
54569,0
73496,0
77615,1
29395,3
80419,1
54024,3
27512,1
16170,1
27925,3
24778,3
30834,1
7134,1
66709,3
47002,1
53206,3
64718,0
64053,3
40328,1
40788,1
8355,0
74850,3
13670,3
8979,0
69137,2
8768,3
67655,3
11348,0
58822,1
80746,0
45122,3
60733,1
31797,3
14894,1
80919,1
53815,1
14276,0
42938,1
31916,3
9035,1
67776,1
74393,1
6525,1
33413,1
54520,1
22758,1
69454,0
63701,1
473,0
8683,1
40357,0
3694,3
24895,3
48551,1
47167,1
60625,1
41409,2
61349,0
37274,1
49863,1
17869,0
10942,3
60065,2
15562,0
37919,1
58686,3
33805,0
16629,3
1795,3
7635,0
17068,3
11872,3
71735,1
63989,3
62492,3
35104,3
81015,3
48250,3
26695,0
78795,3
34140,3
25764,3
56621,3
80226,3
39649,3
79205,3
77500,3
62536,3
13577,3
33261,0
43174,3
74736,0
23646,1
61811,1
54090,1
32608,3
39076,1
80469,3
16379,1
29642,0
75613,1
37621,1
9804,1
73027,1
77462,3
74004,0
73645,1
40091,1
4639,3
36856,3
5762,1
5821,0
8760,3
73187,1
25980,1
3906,0
17050,1
11257,1
62634,3
30391,0
71971,3
50951,3
35696,3
26115,3
14875,1
77274,3
46547,3
63517,1
54613,3
75750,1
51343,1
45649,1
13647,3
36168,1
58640,3
16454,1
7161,0
71313,1
21176,3
19027,3
22338,0
74342,3
62297,1
73488,1
74823,1
32773,0
18490,3
1349,3
37341,3
20871,3
3064,3
43569,1
12484,1
52111,1
76745,1
26705,2
59215,3
65313,3
12274,3
73162,3
40749,1
53465,3
71478,3
11852,3
9393,3
30127,1
14946,1
65708,1
22475,3
63168,0
66582,3
35425,3
67680,3
4733,1
73190,0
51554,3
53820,1
42055,3
12928,3
56618,0
71510,3
80999,3
64810,3
7911,2
18850,0
56432,1
35766,1
67127,0
53194,3
76177,3
16115,0
34369,1
69192,0
5879,3
63028,3
29231,1
13474,3
54062,3
69246,1
15897,0
74857,1
45105,0
22039,2
34458,0
48655,3
61069,3
55072,1
11789,3
46061,2
36204,3
71883,1
79179,3
13897,2
50287,3
23868,3
36093,3
49881,3
43771,3
18249,1
63314,3
51046,3
35305,1
44639,1
25349,3
39037,1
32782,3
39035,1
61573,3
41052,3
6404,3
38207,1
60007,3
18698,1
5245,3
22192,0
68303,1
78146,1
65718,0
63764,3
21824,0
37727,1
14697,1
33860,3
2350,3
68930,3
73316,0
10618,0
43457,0
13327,0
53341,1
74428,3
44215,3
66592,3
57158,1
53193,3
48714,1
44311,3
28684,3
42506,3
22230,3
14528,3
42373,0
22384,3
7541,3
52505,3
12557,1
46670,0
21764,1
55336,0
20621,3
22495,3
54948,1
75621,1
779,3
55119,3
63685,3
44750,1
39991,3
39947,0
17093,3
45385,3
80155,1
4093,0
63305,3
27063,0
67059,1
80743,1
54558,0
40754,1
6665,3
57832,3
55969,1
52173,3
1682,1
42248,0
31998,3
73296,1
52791,3
30718,3
4801,1
31304,3
80041,0
78087,1
78831,3
45480,1
71875,1
50045,1
59974,0
64822,1
32485,3
40926,3
43206,2
44587,3
42488,1
33249,3
9710,3
28597,1
18817,1
42795,3
34868,3
399,0
17249,3
29256,1
62369,1
3611,2
17620,1
9645,1
72005,3
66331,1
50058,0
48518,3
22461,1
50169,3
49773,1
14401,3
61857,1
79689,3
62838,0
30586,0
12346,3
4313,1
56895,1
15736,3
76671,3
75670,1
39838,3
65326,1
31549,3
1990,3
75563,3
28389,3
45763,1
60999,3
21986,0
57892,2
51402,3
54802,3
11744,1
34455,0
32889,3
33561,1
32409,3
47988,1
14534,3
29156,1
56085,3
78149,1
69179,0
30119,3
24943,3
75021,0
34165,3
70622,3
69931,1
18139,3
74925,3
65097,3
44573,3
7383,3
5114,3
64650,3
28578,3
65017,3
62326,1
23023,0
41945,2
80227,3
79174,1
3288,1
73798,3
80673,3
38164,0
15359,1
21688,3
53392,0
77675,3
62929,1
62630,0
30811,3
10867,1
65564,1
31597,3
41314,3
25636,1
37733,3
68524,1
69731,3
42684,1
33990,1
9845,1
80232,3
60001,1
31717,3
10187,3
36428,1
63638,1
24205,3
63642,1
19185,0
74082,3
51787,1
75594,3
67437,0
75587,1
57096,3
62447,1
9955,1
78936,3
4665,1
24697,0
19101,3
60425,1
78820,3
73541,0
49401,3
45745,3
30097,2
26784,3
39623,1
21184,1
41283,3
27816,1
2840,3
71989,3
11201,0
32618,3
24801,3
963,1
49193,3
22328,0
32424,3
79254,3
40381,1
44137,3
19821,0
68229,3
33631,3
43903,3
28101,3
76264,3
32370,0
21679,1
76869,3
64507,1
65871,1
25971,3
6961,3
79053,1
8022,0
80165,3
33051,1
23339,3
75545,1
15444,0
43343,3
55689,3
63787,0
76026,3
60423,1
71587,2
58779,3
4325,0
59432,3
54419,1
25845,3
48663,1
30600,0
3427,3
65354,3
6424,3
6417,2
58432,0
78092,3
1230,1
66808,1
47986,1
46373,3
2941,1
46714,1
76087,0
53870,0
12678,0
33176,1
12074,3
19649,1
53124,3
45994,1
78083,1
30742,3
41506,3
940,1
74413,1
13443,3
54622,3
43274,1
32073,3
33248,3
41307,3
21096,3
51505,3
78455,1
20531,3
5537,0
7278,0
11006,1
34852,3
32848,3
35752,0
36682,3
4012,2
64364,1
1326,3
51421,3
9424,3
32802,3
10221,3
29939,3
41099,0
68646,2
46928,3
37452,0
26996,3
46078,3
61147,0
59483,3
11943,3
67607,0
32630,3
14442,1
40395,3
39158,3
61939,3
33775,3
6759,1
25340,1
2992,1
12694,3
22731,3
54647,3
45686,3
70604,1
45155,3
65827,1
72558,3
35981,3
29612,1
43424,3
47499,1
55901,3
41315,3
71731,1
25087,3
78719,0
70827,3
35445,1
2386,3
11661,1
26682,3
19921,1
15938,3
67426,3
42236,3
19645,3
49696,0
61638,3
38950,3
52314,3
33718,3
42209,0
62312,1
1647,0
20911,1
44988,1
64238,1
2351,3
33369,0
33882,3
66666,1
32686,3
46987,1
55454,1
13542,1
14820,3
40049,0
3451,1
70041,0
17136,1
52539,3
29507,3
59250,1
6430,1
8538,3
44145,1
10881,3
41546,1
35510,1
43219,1
23220,3
60350,0
74039,3
53085,3
47413,3
40015,3
35317,3
33036,3
18682,0
35082,1
63587,1
74272,3
64968,0
26391,3
67983,3
55441,3
2997,1
77397,3
23789,1
74948,1
15480,3
55509,0
25076,0
55567,1
77536,3
8788,0
27084,0
4072,3
64962,3
53265,3
38004,0
59646,3
75655,1
8093,1
49588,1
5396,3
76108,3
35278,2
39520,1
59959,3
21868,3
72001,3
10343,3
65905,3
51078,3
53628,3
8435,1
67810,1
34437,1
7167,3
40782,1
7995,3
27417,1
15683,3
16431,3
35299,0
48712,3
19557,1
48863,1
2771,1
1671,1
38440,3
78053,3
22541,3
32761,1
36488,1
32086,0
45455,1
44603,1
13745,1
58637,1
70488,1
76602,0
70861,3
32153,3
20086,3
4654,3
16054,1
48497,3
74367,3
41031,1
80124,3
20920,1
42983,3
52864,3
42571,3
8671,3
50584,1
3524,1
36011,1
81031,3
49533,3
452,3
73288,3
59767,3
4785,3
30174,1
8746,1
46631,0
29601,3
3235,0
72008,3
42480,1
30455,3
70186,3
68951,3
71023,0
10216,0
34097,0
72746,3
71209,3
20807,3
41656,3
70605,1
68064,1
44529,3
9289,0
68962,1
76268,1
24210,1
50147,3
9053,0
73153,2
22573,3
61773,0
60816,3
33543,2
20248,1
47331,1
78246,3
34298,3
57137,3
70254,3
17009,3
62632,0
16071,3
5011,0
37483,1
30738,3
20944,3
5924,3
68423,3
69598,3
44774,0
28140,1
73960,0
20052,1
78366,0
25171,3
56945,3
20626,1
6666,3
7877,3
41794,1
53667,3
29102,3
79777,2
29499,3
32386,3
46574,1
22460,1
60199,3
29551,0
51622,3
39763,3
53058,3
49905,3
212,3
64620,1
69026,3
35635,1
6617,3
75687,1
52382,3
14336,3
49921,3
67495,2
75441,2
8923,3
66891,3
78526,3
14701,1
20503,3
20277,3
11052,0
1035,3
8385,0
72485,3
71421,1
9199,2
49381,3
62857,1
53765,1
26351,3
18702,1
41436,1
26698,1
28157,1
58998,1
35685,0
19218,1
36766,3
48054,3
50365,3
41960,3
58763,3
61163,3
72923,0
78821,3
70575,3
436,1
28316,0
53378,3
78650,3
19899,1
76102,2
25717,3
13824,1
33648,0
48902,3
42411,1
7679,0
74812,1
64515,1
44136,3
54373,1
31091,1
16866,1
41648,0
8051,0
76836,3
11265,0
46388,0
28372,3
65852,3
18151,3
21393,0
59452,2
60584,1
68325,1
12751,0
29215,1
56710,3
14967,3
33821,3
70020,0
64020,1
210,1
28531,3
9266,1
79501,1
24523,1
20643,3
19443,3
49224,3
15881,1
24455,1
50614,1
65203,0
19747,1
55001,1
33468,1
79240,1
4591,3
71445,3
75210,1
13183,1
60751,2
35544,1
39416,1
5892,1
39122,0
56666,0
53753,1
67239,0
66824,3
28686,3
9455,1
31878,1
12495,3
48396,1
4070,3
29210,3
30770,1
49140,0
8731,1
11599,3
33263,3
42283,3
62905,3
4394,1
29149,1
3418,3
4211,2
72376,3
56020,0
37037,1
43407,3
43537,3
69680,1
6225,1
73527,3
80568,1
37912,1
12750,0
74222,1
60775,1
43242,1
7323,3
28558,3
79178,1
70116,1
53726,1
40959,1
4337,1
78451,1
53771,0
68062,3
37732,3
52084,3
51732,0
79146,3
971,3
27936,0
47434,1
40881,0
22491,3
15134,3
18965,3
78662,1
72879,2
32365,1
37865,3
6894,3
9841,1
10813,0
69573,1
28827,3
61893,3
50843,3
27218,2
33423,3
68861,3
50936,1
37647,3
36986,3
34468,3
17549,2
34013,1
63577,0
19497,3
40030,3
30357,0
53679,1
60158,3
57136,3
53055,1
31021,3
71765,1
61559,0
55328,0
41229,1
44889,3
29077,3
70223,3
51995,1
40815,3
23541,3
55314,3
71734,1
37741,0
28730,3
31984,0
4066,3
38128,3
7401,1
72408,0
5090,3
20206,3
60150,1
70446,3
13308,1
10912,3
75807,0
65298,3
33113,1
65192,3
44256,1
40419,3
63736,3
17761,0
36663,0
7518,3
42237,3
17020,3
59093,3
21276,1
510,3
16276,1
21104,3
27480,3
23839,1
25578,3
70627,3
77966,3
73133,1
77183,1
77671,0
34781,1
36720,1
1295,3
70682,3
31464,3
34619,1
31079,0
27779,3
71679,3
75111,3
44033,0
33934,3
50590,1
75034,1
60401,0
28703,3
26182,3
65028,3
30014,3
11903,2
74052,3
80273,1
700,1
10005,0
46369,1
26800,1
19501,3
27454,0
43141,1
38702,3
24477,1
33589,2
56909,3
24433,0
18657,3
40956,2
68610,3
47238,1
25181,0
56818,3
77829,1
13436,3
39466,0
35898,0
54369,0
17047,0
54032,3
27449,3
3803,3
63940,3
70272,1
48824,3
29555,3
45070,3
54506,0
77617,1
79499,0
28996,0
49118,1
53087,3
48214,3
27221,0
47104,1
44726,3
56415,1
68007,0
2182,3
10305,3
22273,3
19524,1
56019,0
30883,0
49244,0
48361,1
55634,3
62414,3
50804,3
23444,1
29542,3
55564,3
64013,1
5401,3
37237,1
8633,3
34438,1
65379,0
12421,3
76460,1
51763,3
5319,1
61441,3
57699,3
16758,1
63904,3
49440,0
18176,1
53154,0
4449,3
4525,3
20241,1
66411,1
74542,3
40556,1
1841,0
44011,3
37859,3
48900,0
37217,1
35750,1
9656,1
27887,3
79097,3
1022,1
6559,1
4160,0
79732,1
40143,3
12362,3
34050,3
51301,3
15110,3
70961,1
59752,1
42393,3
35174,3
52453,1
79857,3
77298,3
2813,1
65260,1
15528,3
68338,3
28969,2
52210,3
78408,1
25461,3
9898,0
37527,2
25593,1
29182,3
68068,3
26792,1
39765,3
59904,3
63935,0
23352,3
60997,3
70841,0
56705,0
36206,1
60567,3
49494,3
20334,3
39824,3
68357,0
75368,1
56039,3
29950,3
62527,3
29416,3
5935,0
20352,3
27368,3
16437,1
12520,1
79824,3
10137,1
17535,1
42194,1
36402,1
73156,1
37552,1
43144,3
41039,0
62122,1
70039,3
43778,3
44172,1
46933,1
66090,0
71304,1
42463,1
68190,0
274,3
71194,3
20772,2
16474,1
45142,3
49093,1
12162,3
16125,0
59714,3
73244,0
80420,1
5785,0
23346,0
55142,3
70296,1
78681,0
67763,3
29547,1
75475,3
75633,1
10307,3
14146,3
62400,3
65795,1
78978,3
43504,3
46191,1
31472,1
12255,1
59813,3
45719,0
80099,0
61502,0
51908,0
56386,3
444,1
80821,1
36857,3
53867,1
64012,1
11762,0
74426,3
14503,2
56842,0
64500,3
36908,3
53779,1
56027,3
64640,1
14543,3
611,3
22377,0
73795,1
64804,2
70908,0
49121,0
34697,3
35839,0
49275,3
27093,0
21624,3
41746,3
1380,3
470,3
52668,3
80376,0
25315,1
12110,1
22899,3
30774,3
61798,3
25434,1
17552,2
23428,0
63898,3
56015,3
37854,3
180,3
25612,3
39825,2
24625,3
9367,3
25588,1
25984,3
57585,3
1655,3
80647,1
10536,3
55173,3
24777,3
6963,1
16886,3
72224,1
74147,1
41481,1
8169,3
9459,1
11270,3
77463,3
78292,1
41630,3
50121,3
21580,3
35161,3
52131,3
4660,3
44157,3
44878,3
54727,1
50144,1
37829,3
54609,0
40341,3
12127,3
42247,3
64560,1
22750,1
40479,1
33829,1
22589,1
61741,0
61056,3
60978,1
59753,1
7640,3
44575,0
62854,0
12214,3
33879,1
31963,0
15399,3
52783,3
62186,3
19334,1
44373,0
34257,0
35279,1
16774,1
73435,3
44063,0
30074,3
29914,3
48806,2
77875,0
30055,1
69237,2
74120,3
4475,3
21022,1
65520,3
79473,1
21158,0
35528,0
3702,0
40400,3
42074,1
5048,3
25265,1
54651,3
13168,3
29539,1
42225,3
60492,0
40717,3
31047,1
58200,3
36541,3
1189,1
58506,1
27409,0
19688,3
25231,0
25718,3
68726,1
68554,1
8372,1
44753,1
45184,0
32971,1
18864,1
25782,3
20135,1
27996,1
22472,1
39544,1
51340,0
5038,3
2432,2
23282,1
47917,1
71557,3
40038,0
67329,0
52568,1
33389,1
80347,1
38902,3
41824,3
20619,3
13468,3
66991,3
47146,3
80625,0
7979,1
23676,3
23120,1
28921,3
35691,3
13404,1
12604,2
48483,3
23749,0
50134,1
25038,2
62889,3
35672,3
23413,1
60849,0
73167,0
73127,1
34190,1
80073,1
41292,3
80586,3
20499,0
76224,3
66994,3
2903,2
1786,3
54877,3
65243,3
66868,0
57642,1
80826,2
77789,1
6527,1
7514,2
51608,1
46301,3
23851,0
79659,3
47338,1
22957,3
23160,0
26514,1
63326,1
14473,2
33936,0
64760,3
29365,1
65159,1
76236,3
75190,1
20993,3
36335,3
13969,3
8105,3
46848,1
67817,3
64196,3
57239,3
18641,1
38265,3
14957,0
57404,3
21701,0
23617,0
67452,1
19445,1
5467,3
71360,1
69529,1
40548,0
32760,1
63565,3
2513,3
68025,1
12635,1
60687,1
22779,0
49967,0
43105,1
24775,3
72056,0
74958,1
16063,3
61223,1
30446,3
16162,3
16910,0
55292,1
56626,3
14813,1
17292,3
64908,3
64861,1
70278,0
45781,0
28139,1
79076,1
71131,0
29436,3
4380,3
76028,3
44384,1
49174,1
23852,1
67374,3
70297,1
40198,1
7554,3
73189,1
4452,3
75959,3
27721,3
74728,3
50633,1
75167,1
76059,3
30186,1
32439,0
11192,1
80494,1
24957,0
14087,3
32531,0
76685,0
34080,0
44113,0
58021,0
64034,3
21743,3
15465,1
5262,2
66859,1
1644,3
39926,3
18633,1
6350,3
34696,0
33567,1
8818,1
73562,1
23300,1
48827,3
34316,3
11337,1
7416,1
69205,3
63917,3
20612,1
73586,3
23981,3
54648,3
78337,0
52074,3
23113,1
44551,1
44743,0
47854,0
35559,3
10583,1
67362,3
27194,1
